STATEWIDE COUNTY REPORT,,,,,,,,,,,,,,
,,,Total,% Index,,,,,,,Motor,Crime Rate,% Rate,Clearance
January - December 2021,,,Crime,Change,,,,Aggravated,,,Vehicle,"Per 100,00",Change,Rate /
Annual Report,Year,Population,Index,2020/2021,Murder,Rape,Robbery,Assault(1),Burglary,Larceny,Theft,Population,2020/2021,100 Offenses
,,,,,,,,,,,,,,
 - Gadsden County 2021 estimate unavailable due to limited size of data sample (14.5% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gilchrist County,2020,"18,269",121,,0,2,0,24,34,52,9,662.3,,29.8
FL021,2021,"18,126",--,--,--,--,--,--,--,--,--,--,--,--
 - Gilchrist County 2021 estimate unavailable due to limited size of data sample (11.4% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Glades County,2020,"13,609",128,,0,2,2,29,17,64,14,940.6,,13.3
FL022,2021,"12,130",--,--,--,--,--,--,--,--,--,--,--,--
 - Glades County 2021 estimate unavailable due to limited size of data sample (0.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gulf County,2020,"14,724",248,,0,8,0,63,55,111,11,"1,684.3",,52.4
FL023,2021,"14,824",--,--,--,--,--,--,--,--,--,--,--,--
 - Gulf County 2021 estimate unavailable due to limited size of data sample (0.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Hamilton County,2020,"14,570",324,,2,3,6,53,81,160,19,"2,223.7",,25.9
FL024,2021,"13,226",--,--,--,--,--,--,--,--,--,--,--,--
 - Hamilton County 2021 estimate unavailable due to limited size of data sample (0.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Hardee County,2020,"27,443",574,,1,6,8,79,152,273,55,"2,091.6",,54.4
FL025,2021,"25,269",466,-18.8,1,8,9,51,92,273,32,"1,844.2",-11.8,37.8
 - Hardee County 2021 estimate based upon data representing 100.0% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Hendry County,2020,"40,953",869,,6,6,25,115,276,365,76,"2,121.9",,27.4
FL026,2021,"40,540",--,--,--,--,--,--,--,--,--,--,--,--
 - Hendry County 2021 estimate unavailable due to limited size of data sample (0.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Hernando County,2020,"192,186","2,785",,7,58,53,369,365,"1,764",169,"1,449.1",,42.2
FL027,2021,"196,540",--,--,--,--,--,--,--,--,--,--,--,--
 - Hernando County 2021 estimate unavailable due to limited size of data sample (0.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Highlands County,2020,"104,834","2,185",,8,29,39,220,333,"1,405",151,"2,084.2",,50.8
FL028,2021,"102,065",--,--,--,--,--,--,--,--,--,--,--,--
 - Highlands County 2021 estimate unavailable due to limited size of data sample (0.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Hillsborough County,2020,"1,478,759","20,705",,81,363,650,"3,201","2,332","12,348","1,730","1,400.2",,33.6
FL029,2021,"1,490,374",--,--,--,--,--,--,--,--,--,--,--,--
 - Hillsborough County 2021 estimate unavailable due to limited size of data sample (4.5% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Holmes County,2020,"20,001",248,,1,4,0,59,50,113,21,"1,239.9",,72.6
FL030,2021,"19,665",267,7.7,1,9,0,85,38,115,19,"1,357.7",9.5,76.8
 - Holmes County 2021 estimate based upon data representing 100.0% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Indian River County,2020,"158,834","2,099",,3,14,28,174,187,"1,513",180,"1,321.5",,25.6
